Company Name,Job Position,Category,Seniority,Salary,Posting Requirements,Job Details
 Lingaro , Azure Tech Lead , Business Intelligence , Expert , 33 600  – 36 960 ," Azure ,  Data Engineering ,  SQL ,  ETL ,  Python ,  Azure Data Factory ,  PySpark ,  Azure Databricks ,  ADLS ,  Azure Synapse ,  DWH ,  CI/CD ,  Cloud environment ,  Proactivity ,  Critical thinking ,  Team Player ,  Leadership and management skills ,  Polish (C2),  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  Some travel involved "
 Link Group , Remote Mid Business Analyst - ServiceNow , Business Analysis , Mid , 23 520  – 28 560 ," ServiceNow ,  ITSM ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Ework Group , Internal Vulnerability Scanning , Business Analysis , Junior , 16 800  – 19 320 ," Nessus ,  Docker ,  SQL ,  Windows ,  Linux ,  Networking ,  Audit ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 Luxoft , Big Data Engineer with Scala ," Data ,  Scala ", Senior , 15 000  – 18 900 ," Scala ,  Databricks ,  Apache Spark ,  UI ,  Spark ,  Azure ,  AWS ,  Storage ,  RDBMS ,  SQL Server ,  Oracle ,  PostgreSQL ,  NoSQL ,  MongoDB ,  Cassandra ,  Neo4j ,  Cosmos DB ,  Gremlin ,  ETL ,  Azure Data Factory ,  Informatica ,  GitHub ,  Gitflow ,  Kanban ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week "
 Clouds on Mars Sp. z o.o. , Remote Sustainability and ESG Analyst , Business Analysis ," Mid, Senior ", 11 760  – 16 800 ," R&D ,  ESG ,  Sustainability ,  Business analysis ,  Excel ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Pentacomp Systemy Informatyczne S.A. , Analityk Biznesowo-Systemowy , Business Analysis , Senior , 16 800  – 25 200 ," BABOK ,  UML ,  Enterprise Architect ,  Polish (C2)"," Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Sii Polska , Data Privacy Business Analyst , Business Analysis , Senior , 26 250 ," BPMN ,  GDPR ,  UML ,  English ,  Polish "," Start ASAP ,  Permanent contract ,  Fully remote "
 Avenga , Programista baz danych ," Data ,  SQL ", Mid , 16 800  – 19 320 ," SQL ,  MS SQL ,  ETL ,  SSIS ,  T-SQL ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Avenga , Business Analyst - 100% REMOTE , Business Analysis ," Mid, Senior ", 21 840  – 25 200 ," BPMN ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 Kelly Services Poland , Remote Sharepoint Specialist , Business Analysis ," Mid, Senior ", 15 000  – 20 000 ," SharePoint ,  Microsoft Dynamics 365 ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 GFT Poland , Data Engineer with GCP ," Data ,  GCP "," Senior, Expert ", 21 840  – 32 760 ," SQL ,  GCP ,  BigQuery ,  Airflow ,  Dataproc ,  Dataflow ,  Python ,  Continuous integration ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Mainly new features "
 APN Promise , SQL/BI Developer , Business Intelligence ," Mid, Senior ", 20 160  – 28 560 ," BI ,  SSIS ,  SSAS ,  SSRS ,  Power BI ,  SQL Server ,  T-SQL ,  Microsoft Azure ,  DAX ,  Azure ,  Azure Data Factory "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Connectis_ , Remote Analityk Biznesowy , Business Analysis ," Mid, Senior ", 21 000  – 24 000 ," Jira ,  Confluence ,  Enterprise Architect ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 HSBC Technology Poland , Deployment Specialist ," Data ,  IBM Db2 ", Senior , 17 000  – 23 000 ," IBM Db2 ,  IBM ,  CA ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 Square One Resources , Remote Business Analyst In Data Area , Business Analysis ," Mid, Senior ", 21 840  – 28 560 ," Business analysis ,  SQL ,  Data analysis ,  Relational database ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Perfect Gym Solutions , DATA ENGINEER (Power BI Developer) ," Data ,  Power BI "," Mid, Senior ", 12 000  – 15 000 ," Power BI ,  OLAP ,  ETL ,  SQL ,  SQL Server ,  SSRS ,  SSIS ,  PowerBI ,  DAX ,  English (C1)"," Online recruitment ,  Start on 2023-07-01 ,  Permanent contract ,  Remote days: flexible in a week "
 NATEK Poland , Remote Junior MS SQL Administrator ," Data ,  SQL ", Junior , 6 300  – 12 600 ," MS SQL ,  Windows Server ,  ITIL ,  SQL ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Sigma IT Poland , Data Engineer , Data , Senior , 19 000  – 24 000 ," Python ,  SQL ,  AWS ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 AVENGA ,  IT Analyst in Corporate Lending , Business Analysis , Senior , 19 320  – 22 680 ," BPMN ,  Analiza systemowa ,  Analiza biznesowa ,  English "," Start ASAP ,  Permanent contract ,  Remote for 2 days a week "
 Predica Sp. z o.o. , Senior BI Consultant , Business Intelligence , Senior , 16 800  – 26 376 ," Azure ,  ETL ,  MS SQL ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
